date,campaign,product,spend_czk,impressions,clicks,visual_hook,intent_framing
2026-03-28,Summit Pro,Tent Summit 3,900,74700,971,Group laughing in tent at dawn,Social aspirational
2026-03-28,Compact Stove,Cookware Stove Compact,2063,162977,6128,Single-hand assembly clip,Convenience
2026-03-28,Spring Tents Push,Tent Alpine 2,2873,249951,6978,Pitch in 60 seconds,FOMO summer launch
2026-03-28,Sleep Light,Sleeping Pad Inflate,1029,109074,2142,10s inflation timelapse,Convenience
2026-03-29,Spring Tents Push,Tent Alpine 2,2362,212580,3336,Pitch in 60 seconds,FOMO summer launch
2026-03-29,Summit Pro,Tent Summit 3,1089,91476,1864,Group laughing in tent at dawn,Social aspirational
2026-03-29,Sleep Warm,Sleeping Bag Alpine -10,2964,207480,2757,Frost on tent fabric macro,Cold-weather pain solve
2026-03-29,Cookware Hack,Cookware Set Titan,254,15748,374,Boil water in 90s timer,Practical demo
2026-03-29,Compact Stove,Cookware Stove Compact,1488,162192,2654,Single-hand assembly clip,Convenience
2026-03-29,Sleep Light,Sleeping Pad Inflate,2755,187340,3851,10s inflation timelapse,Convenience
2026-03-30,Compact Stove,Cookware Stove Compact,1295,115255,3458,Single-hand assembly clip,Convenience
2026-03-30,Cookware Hack,Cookware Set Titan,2564,235888,3284,Boil water in 90s timer,Practical demo
2026-03-30,Backpack Hero,Backpack Trek 45L,2651,275704,6343,Mountain ridge sunset b-roll,Aspirational adventure
2026-03-30,Spring Tents Push,Tent Alpine 2,2095,190645,5355,Pitch in 60 seconds,FOMO summer launch
2026-03-31,Sleep Warm,Sleeping Bag Alpine -10,1468,149736,2091,Frost on tent fabric macro,Cold-weather pain solve
2026-03-31,Compact Stove,Cookware Stove Compact,1606,131692,2738,Single-hand assembly clip,Convenience
2026-03-31,Backpack Hero,Backpack Trek 45L,358,32578,428,Mountain ridge sunset b-roll,Aspirational adventure
2026-03-31,Sleep Light,Sleeping Pad Inflate,1495,164450,3339,10s inflation timelapse,Convenience
2026-03-31,Summit Pro,Tent Summit 3,325,27625,547,Group laughing in tent at dawn,Social aspirational
2026-04-01,Sleep Warm,Sleeping Bag Alpine -10,1577,118275,3570,Frost on tent fabric macro,Cold-weather pain solve
2026-04-01,Backpack Hero,Backpack Trek 45L,2238,149946,5679,Mountain ridge sunset b-roll,Aspirational adventure
2026-04-01,Compact Stove,Cookware Stove Compact,2316,208440,5838,Single-hand assembly clip,Convenience
2026-04-01,Summit Pro,Tent Summit 3,473,52030,1728,Group laughing in tent at dawn,Social aspirational
2026-04-01,Spring Tents Push,Tent Alpine 2,2822,234226,4442,Pitch in 60 seconds,FOMO summer launch
2026-04-02,Daypack Daily,Backpack Daypack 25L,2521,277310,7454,Commuter to weekend cut,Versatility
2026-04-02,Sleep Light,Sleeping Pad Inflate,2455,265140,4366,10s inflation timelapse,Convenience
2026-04-02,Sleep Warm,Sleeping Bag Alpine -10,2369,156354,5464,Frost on tent fabric macro,Cold-weather pain solve
2026-04-02,Compact Stove,Cookware Stove Compact,2999,269910,8914,Single-hand assembly clip,Convenience
2026-04-03,Spring Tents Push,Tent Alpine 2,651,69657,1129,Pitch in 60 seconds,FOMO summer launch
2026-04-03,Cookware Hack,Cookware Set Titan,336,35280,1212,Boil water in 90s timer,Practical demo
2026-04-03,Sleep Light,Sleeping Pad Inflate,1555,130620,1864,10s inflation timelapse,Convenience
2026-04-03,Daypack Daily,Backpack Daypack 25L,2511,198369,4847,Commuter to weekend cut,Versatility
2026-04-03,Compact Stove,Cookware Stove Compact,1569,123951,2953,Single-hand assembly clip,Convenience
2026-04-03,Summit Pro,Tent Summit 3,2124,163548,2940,Group laughing in tent at dawn,Social aspirational
2026-04-04,Spring Tents Push,Tent Alpine 2,1842,189726,4794,Pitch in 60 seconds,FOMO summer launch
2026-04-04,Backpack Hero,Backpack Trek 45L,2585,240405,7615,Mountain ridge sunset b-roll,Aspirational adventure
2026-04-04,Sleep Light,Sleeping Pad Inflate,703,52725,1024,10s inflation timelapse,Convenience
2026-04-04,Sleep Warm,Sleeping Bag Alpine -10,2182,154922,5353,Frost on tent fabric macro,Cold-weather pain solve
2026-04-04,Cookware Hack,Cookware Set Titan,1547,100555,3512,Boil water in 90s timer,Practical demo
2026-04-04,Summit Pro,Tent Summit 3,2166,177612,2196,Group laughing in tent at dawn,Social aspirational
2026-04-05,Spring Tents Push,Tent Alpine 2,1590,154230,4328,Pitch in 60 seconds,FOMO summer launch
2026-04-05,Sleep Light,Sleeping Pad Inflate,2444,237068,2949,10s inflation timelapse,Convenience
2026-04-05,Summit Pro,Tent Summit 3,2312,217328,5958,Group laughing in tent at dawn,Social aspirational
2026-04-06,Spring Tents Push,Tent Alpine 2,716,66588,935,Pitch in 60 seconds,FOMO summer launch
2026-04-06,Sleep Light,Sleeping Pad Inflate,1593,168858,3651,10s inflation timelapse,Convenience
2026-04-06,Compact Stove,Cookware Stove Compact,2156,133672,4255,Single-hand assembly clip,Convenience
2026-04-07,Backpack Hero,Backpack Trek 45L,1388,112428,3613,Mountain ridge sunset b-roll,Aspirational adventure
2026-04-07,Compact Stove,Cookware Stove Compact,2789,209175,7739,Single-hand assembly clip,Convenience
2026-04-07,Sleep Light,Sleeping Pad Inflate,2472,242256,7824,10s inflation timelapse,Convenience
2026-04-07,Sleep Warm,Sleeping Bag Alpine -10,1829,120714,2976,Frost on tent fabric macro,Cold-weather pain solve
2026-04-07,Daypack Daily,Backpack Daypack 25L,2119,220376,4440,Commuter to weekend cut,Versatility
